  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
  1  32      0 2.214167e+13 2.285714e+01  5.397327e+09 0.000000e+00  1.313636e+10 8.285847e-14 7.643897e+04 2.666278e+05
  1  33      0 2.214167e+13 2.357143e+01  5.654212e+09 0.000000e+00  1.327448e+10 9.353149e-14 7.634891e+04 2.662787e+05
  1  34      0 2.214167e+13 2.428571e+01  5.902780e+09 0.000000e+00  1.339071e+10 1.070218e-13 7.624084e+04 2.658600e+05
  1  35      0 2.214167e+13 2.500000e+01  6.141832e+09 0.000000e+00  1.347666e+10 1.233290e-13 7.613492e+04 2.654496e+05
  1  36      0 2.214167e+13 2.571429e+01  6.372996e+09 0.000000e+00  1.353894e+10 1.433954e-13 7.601324e+04 2.649783e+05
  1  37      0 2.214167e+13 2.642857e+01  6.597249e+09 0.000000e+00  1.357996e+10 1.678991e-13 7.586174e+04 2.643915e+05
  1  38      0 2.214167e+13 2.714286e+01  6.816099e+09 0.000000e+00  1.359876e+10 1.968455e-13 7.569808e+04 2.637579e+05
  1  39      0 2.214167e+13 2.785714e+01  7.026259e+09 0.000000e+00  1.358941e+10 2.307249e-13 7.555622e+04 2.632087e+05
  1  40      0 2.214167e+13 2.857143e+01  7.224355e+09 0.000000e+00  1.355535e+10 2.683619e-13 7.543378e+04 2.627348e+05
  1  41      0 2.214167e+13 2.928571e+01  7.413562e+09 0.000000e+00  1.350180e+10 3.104500e-13 7.532060e+04 2.622968e+05
  1  42      0 2.214167e+13 3.000000e+01  7.593342e+09 0.000000e+00  1.343007e+10 3.566935e-13 7.519117e+04 2.617961e+05
  1  43      0 2.214167e+13 3.071429e+01  7.761930e+09 0.000000e+00  1.334451e+10 4.040064e-13 7.503589e+04 2.611954e+05
  1  44      0 2.214167e+13 3.142857e+01  7.916621e+09 0.000000e+00  1.324546e+10 4.519641e-13 7.487546e+04 2.605750e+05
  1  45      0 2.214167e+13 3.214286e+01  8.055913e+09 0.000000e+00  1.312566e+10 5.011647e-13 7.471284e+04 2.599463e+05
  1  46      0 2.214167e+13 3.285714e+01  8.180983e+09 0.000000e+00  1.298994e+10 5.503544e-13 7.454173e+04 2.592849e+05
  1  47      0 2.214167e+13 3.357143e+01  8.292700e+09 0.000000e+00  1.283856e+10 5.998362e-13 7.436625e+04 2.586067e+05
  1  48      0 2.214167e+13 3.428571e+01  8.392314e+09 0.000000e+00  1.266861e+10 6.498761e-13 7.417798e+04 2.578794e+05
  1  49      0 2.214167e+13 3.500000e+01  8.475824e+09 0.000000e+00  1.247529e+10 7.009466e-13 7.398439e+04 2.571317e+05
  1  50      0 2.214167e+13 3.571429e+01  8.541347e+09 0.000000e+00  1.226167e+10 7.537529e-13 7.380037e+04 2.564212e+05
  1  51      0 2.214167e+13 3.642857e+01  8.591571e+09 0.000000e+00  1.203184e+10 8.073488e-13 7.363480e+04 2.557821e+05
  1  52      0 2.214167e+13 3.714286e+01  8.623988e+09 0.000000e+00  1.178619e+10 8.635585e-13 7.349656e+04 2.552486e+05
  1  53      0 2.214167e+13 3.785714e+01  8.635588e+09 0.000000e+00  1.152483e+10 9.221881e-13 7.336338e+04 2.547347e+05
  1  54      0 2.214167e+13 3.857143e+01  8.627078e+09 0.000000e+00  1.124713e+10 9.814442e-13 7.324474e+04 2.542770e+05
  1  55      0 2.214167e+13 3.928571e+01  8.599939e+09 0.000000e+00  1.095681e+10 1.041523e-12 7.315902e+04 2.539464e+05
  1  56      0 2.214167e+13 4.000000e+01  8.555376e+09 0.000000e+00  1.065625e+10 1.101316e-12 7.311121e+04 2.537620e+05
  1  57      0 2.214167e+13 4.071429e+01  8.498085e+09 0.000000e+00  1.034949e+10 1.158805e-12 7.308435e+04 2.536584e+05
  1  58      0 2.214167e+13 4.142857e+01  8.427036e+09 0.000000e+00  1.003459e+10 1.214317e-12 7.307682e+04 2.536294e+05
  1  59      0 2.214167e+13 4.214286e+01  8.341533e+09 0.000000e+00  9.713399e+09 1.267846e-12 7.308734e+04 2.536700e+05
  1  60      0 2.214167e+13 4.285714e+01  8.241983e+09 0.000000e+00  9.387382e+09 1.319590e-12 7.313127e+04 2.538394e+05
  1  61      0 2.214167e+13 4.357143e+01  8.127696e+09 0.000000e+00  9.057947e+09 1.369948e-12 7.321582e+04 2.541655e+05
  1  62      0 2.214167e+13 4.428571e+01  7.998813e+09 0.000000e+00  8.725087e+09 1.419813e-12 7.332517e+04 2.545873e+05
