        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
1.290e+14   74      0        0  2.30e+09  0.00e+00  0.00e+00  9.77e-06 -3.75e-13 -8.14e-06  0.00e+00  1.79e-05  0.00e+00 -8.14e-06 -3.75e-13  9.77e-06  3.75e-05  1.79e-05  1.00e+00  1.00e+05 
1.354e+14   75      0        0  2.32e+09  0.00e+00  0.00e+00  9.27e-06 -3.65e-13 -7.91e-06  0.00e+00  1.72e-05  0.00e+00 -7.91e-06 -3.65e-13  9.27e-06  3.38e-05  1.72e-05  1.00e+00  1.00e+05 
1.421e+14   76      0        0  2.32e+09  0.00e+00  0.00e+00  8.30e-06 -3.49e-13 -8.07e-06  0.00e+00  1.64e-05  0.00e+00 -8.07e-06 -3.49e-13  8.30e-06  3.22e-05  1.64e-05  1.00e+00  1.00e+05 
1.492e+14   77      0        0  2.32e+09  0.00e+00  0.00e+00  7.78e-06 -3.33e-13 -7.83e-06  0.00e+00  1.56e-05  0.00e+00 -7.83e-06 -3.33e-13  7.78e-06  3.01e-05  1.56e-05  1.00e+00  1.00e+05 
1.566e+14   78      0        0  2.32e+09  0.00e+00  0.00e+00  6.87e-06 -3.16e-13 -7.99e-06  0.00e+00  1.49e-05  0.00e+00 -7.99e-06 -3.16e-13  6.87e-06  2.70e-05  1.49e-05  1.00e+00  1.00e+05 
1.644e+14   79      0        0  2.30e+09  0.00e+00  0.00e+00  6.27e-06 -2.95e-13 -7.79e-06  0.00e+00  1.41e-05  0.00e+00 -7.79e-06 -2.95e-13  6.27e-06  2.63e-05  1.41e-05  1.00e+00  1.00e+05 
1.726e+14   80      0        0  2.30e+09  0.00e+00  0.00e+00  6.01e-06 -2.78e-13 -7.33e-06  0.00e+00  1.33e-05  0.00e+00 -7.33e-06 -2.78e-13  6.01e-06  2.44e-05  1.33e-05  1.00e+00  1.00e+05 
1.812e+14   81      0        0  2.28e+09  0.00e+00  0.00e+00  5.30e-06 -2.60e-13 -7.34e-06  0.00e+00  1.26e-05  0.00e+00 -7.34e-06 -2.60e-13  5.30e-06  2.20e-05  1.26e-05  1.00e+00  1.00e+05 
1.902e+14   82      0        0  2.26e+09  0.00e+00  0.00e+00  4.82e-06 -2.40e-13 -7.10e-06  0.00e+00  1.19e-05  0.00e+00 -7.10e-06 -2.40e-13  4.82e-06  2.11e-05  1.19e-05  1.00e+00  1.00e+05 
1.997e+14   83      0        0  2.24e+09  0.00e+00  0.00e+00  4.38e-06 -2.23e-13 -6.88e-06  0.00e+00  1.13e-05  0.00e+00 -6.88e-06 -2.23e-13  4.38e-06  1.88e-05  1.13e-05  1.00e+00  1.00e+05 
2.096e+14   84      0        0  2.21e+09  0.00e+00  0.00e+00  3.70e-06 -2.04e-13 -6.88e-06  0.00e+00  1.06e-05  0.00e+00 -6.88e-06 -2.04e-13  3.70e-06  1.71e-05  1.06e-05  1.00e+00  1.00e+05 
2.200e+14   85      0        0  2.18e+09  0.00e+00  0.00e+00  3.45e-06 -1.85e-13 -6.46e-06  0.00e+00  9.91e-06  0.00e+00 -6.46e-06 -1.85e-13  3.45e-06  1.66e-05  9.91e-06  1.00e+00  1.00e+05 
2.310e+14   86      0        0  2.15e+09  0.00e+00  0.00e+00  2.96e-06 -1.70e-13 -6.36e-06  0.00e+00  9.32e-06  0.00e+00 -6.36e-06 -1.70e-13  2.96e-06  1.38e-05  9.32e-06  1.00e+00  1.00e+05 
2.425e+14   87      0        0  2.10e+09  0.00e+00  0.00e+00  2.44e-06 -1.51e-13 -6.24e-06  0.00e+00  8.68e-06  0.00e+00 -6.24e-06 -1.51e-13  2.44e-06  1.33e-05  8.68e-06  1.00e+00  1.00e+05 
2.545e+14   88      0        0  2.06e+09  0.00e+00  0.00e+00  2.49e-06 -1.35e-13 -5.61e-06  0.00e+00  8.10e-06  0.00e+00 -5.61e-06 -1.35e-13  2.49e-06  1.29e-05  8.10e-06  1.00e+00  1.00e+05 
2.672e+14   89      0        0  2.02e+09  0.00e+00  0.00e+00  2.09e-06 -1.22e-13 -5.50e-06  0.00e+00  7.59e-06  0.00e+00 -5.50e-06 -1.22e-13  2.09e-06  1.06e-05  7.59e-06  1.00e+00  1.00e+05 
2.805e+14   90      0        0  1.97e+09  0.00e+00  0.00e+00  1.82e-06 -1.08e-13 -5.21e-06  0.00e+00  7.03e-06  0.00e+00 -5.21e-06 -1.08e-13  1.82e-06  1.08e-05  7.03e-06  1.00e+00  1.00e+05 
2.944e+14   91      0        0  1.93e+09  0.00e+00  0.00e+00  1.84e-06 -9.66e-14 -4.73e-06  0.00e+00  6.57e-06  0.00e+00 -4.73e-06 -9.66e-14  1.84e-06  9.66e-06  6.57e-06  1.00e+00  1.00e+05 
3.091e+14   92      0        0  1.89e+09  0.00e+00  0.00e+00  1.36e-06 -8.58e-14 -4.75e-06  0.00e+00  6.11e-06  0.00e+00 -4.75e-06 -8.58e-14  1.36e-06  7.98e-06  6.11e-06  1.00e+00  1.00e+05 
3.244e+14   93      0        0  1.83e+09  0.00e+00  0.00e+00  1.43e-06 -7.44e-14 -4.22e-06  0.00e+00  5.65e-06  0.00e+00 -4.22e-06 -7.44e-14  1.43e-06  9.10e-06  5.65e-06  1.00e+00  1.00e+05 
3.406e+14   94      0        0  1.80e+09  0.00e+00  0.00e+00  1.93e-06 -6.75e-14 -3.36e-06  0.00e+00  5.29e-06  0.00e+00 -3.36e-06 -6.75e-14  1.93e-06  9.23e-06  5.29e-06  1.00e+00  1.00e+05 
3.575e+14   95      0        0  1.78e+09  0.00e+00  0.00e+00  1.95e-06 -6.24e-14 -3.04e-06  0.00e+00  4.99e-06  0.00e+00 -3.04e-06 -6.24e-14  1.95e-06  8.54e-06  4.99e-06  1.00e+00  1.00e+05 
3.753e+14   96      0        0  1.76e+09  0.00e+00  0.00e+00  1.77e-06 -5.74e-14 -2.93e-06  0.00e+00  4.70e-06  0.00e+00 -2.93e-06 -5.74e-14  1.77e-06  7.95e-06  4.70e-06  1.00e+00  1.00e+05 
3.940e+14   97      0        0  1.74e+09  0.00e+00  0.00e+00  2.34e-06 -5.27e-14 -2.08e-06  0.00e+00  4.42e-06  0.00e+00 -2.08e-06 -5.27e-14  2.34e-06  1.04e-05  4.42e-06  1.00e+00  1.00e+05 
4.136e+14   98      0        0  1.77e+09  0.00e+00  0.00e+00  2.64e-06 -5.31e-14 -1.66e-06  0.00e+00  4.29e-06  0.00e+00 -1.66e-06 -5.31e-14  2.64e-06  8.68e-06  4.29e-06  1.00e+00  1.00e+05 
4.342e+14   99      0        0  1.78e+09  0.00e+00  0.00e+00  2.17e-06 -5.11e-14 -1.93e-06  0.00e+00  4.10e-06  0.00e+00 -1.93e-06 -5.11e-14  2.17e-06  8.20e-06  4.10e-06  1.00e+00  1.00e+05 
4.558e+14  100      0        0  1.78e+09  0.00e+00  0.00e+00  2.62e-06 -4.90e-14 -1.30e-06  0.00e+00  3.92e-06  0.00e+00 -1.30e-06 -4.90e-14  2.62e-06  1.02e-05  3.92e-06  1.00e+00  1.00e+05 
4.784e+14  101      0        0  1.84e+09  0.00e+00  0.00e+00  2.82e-06 -5.12e-14 -1.02e-06  0.00e+00  3.85e-06  0.00e+00 -1.02e-06 -5.12e-14  2.82e-06  8.72e-06  3.85e-06  1.00e+00  1.00e+05 
