      r      theta      rho   t_gas   t_rad          v_r      v_theta
1.64314   0.932213 -10.3845 8.36683 6.15083    -0.468544   -0.0119437
1.64314    1.01831  -10.334 8.29961 6.15401     -0.44723  -0.00828478
1.64314    1.09329 -10.2595 8.18453 6.16224    -0.430547  -0.00528967
1.64314     1.1584 -10.1565 8.06085 6.17257    -0.417564  -0.00220724
1.64314    1.21475 -10.0335 7.89515 6.18412     -0.40876  0.000427869
1.64314    1.26338 -9.88953 7.72327 6.19686    -0.401746    0.0028686
1.64314    1.30524 -9.74213 7.54889 6.21206    -0.396766   0.00495454
1.64314     1.3412 -9.61032 7.40415 6.22902    -0.392719    0.0067231
1.64314    1.37204 -9.49279 7.26119 6.24635    -0.389104   0.00812153
1.64314    1.39846 -9.38155 7.15428 6.26537    -0.386028    0.0092072
1.64314     1.4211 -9.27552 7.04772  6.2847    -0.382975    0.0100551
1.64314    1.44053 -9.17201 6.95014 6.30497     -0.38004    0.0105526
1.64314    1.45726 -9.08238 6.88759 6.32413    -0.376711    0.0107821
1.64314    1.47173 -9.00163 6.82127 6.34322    -0.373118     0.010863
1.64314    1.48433 -8.93061 6.77718 6.36202     -0.36962    0.0107529
1.64314    1.49539 -8.87339 6.73833  6.3795    -0.365968    0.0105089
1.64314    1.50522 -8.82071 6.71356 6.39646    -0.362153    0.0103573
1.64314    1.51405 -8.76994 6.68954 6.41331    -0.358466    0.0100443
1.64314     1.5221 -8.72256 6.66985 6.42931    -0.355063   0.00973277
1.64314    1.52954 -8.67584 6.64948 6.44458    -0.352068   0.00931967
1.64314    1.53652 -8.62321 6.64224 6.45993    -0.349435   0.00888608
1.64314    1.54315 -8.56759 6.63642 6.47524    -0.346804   0.00817649
1.64314    1.54952 -8.50806 6.62712 6.48939     -0.34432    0.0073364
1.64314    1.55572 -8.44315 6.62985 6.50352    -0.341951   0.00635026
1.64314    1.56179 -8.38602  6.6322 6.51575    -0.339815   0.00497355
1.64314     1.5678 -8.35352 6.63165 6.52347    -0.338143   0.00344676
1.64314    1.57379 -8.35334 6.63221 6.52534    -0.336803   0.00155292
1.64314     1.5798 -8.37514 6.62741 6.52117    -0.335824 -8.82098e-05
1.64314    1.58588 -8.40799  6.6231 6.51385    -0.335547  -0.00140509
1.64314    1.59207 -8.44402 6.62055 6.50416    -0.335781  -0.00255247
1.64314    1.59844 -8.48613  6.6175  6.4928    -0.336437  -0.00360026
1.64314    1.60507 -8.53543 6.62075 6.47974    -0.337715  -0.00452032
1.64314    1.61205 -8.58977 6.62813 6.46505    -0.339557  -0.00531842
